Year,State,Dengue_Cases,Average_Humidity,Average_Temperature,Average_UV_Index
2014,Perlis,317,,,
2014,Kedah,1014,81.21,28.07,1.81
2014,Penang,3141,81.17,28.16,1.83
2014,Perak,7525,81.45,27.55,1.88
2014,Selangor,54290,77.08,28.18,1.83
2014,Melaka,2770,81.65,27.73,1.86
2014,Johor,6323,84.84,27.15,1.86
2014,Pahang,2170,83.37,27.19,1.85
2014,Terengganu,1688,80.64,27.96,2.44
2014,Kelantan,14456,82.93,27.25,1.79
2014,Sarawak,2571,84.48,26.87,1.84
2014,Sabah,1456,83.06,27.41,1.82
2014,Labuan,11,82.5,27.78,1.82
2015,Perlis,258,,,
2015,Kedah,1000,80.53,28.18,2.05
2015,Penang,5830,80.8,27.82,2.05
2015,Perak,9466,83.14,27.63,2.11
2015,Selangor,63198,58.43,28.44,2.05
2015,Melaka,2420,82.76,27.92,2.1
2015,Johor,15743,85.04,27.36,2.12
2015,Pahang,3001,84.76,27.38,2.09
2015,Terengganu,1455,81.26,28.11,2.65
2015,Kelantan,2850,81.85,27.63,2.02
2015,Sarawak,1923,85.5,27.09,2.07
2015,Sabah,2904,83.02,27.86,2.04
2015,Labuan,2,81.05,28.13,2.05
2016,Perlis,183,,,
2016,Kedah,994,80.86,28.64,2.05
2016,Penang,2576,79.65,28.21,2.06
2016,Perak,3777,79.99,28.28,2.11
2016,Selangor,51652,63.23,28.86,2.07
2016,Melaka,2299,80.95,28.38,2.11
2016,Johor,10641,85.34,27.92,2.11
2016,Pahang,3050,86.76,27.62,2.1
2016,Terengganu,2009,82.52,28.33,2.67
2016,Kelantan,6180,80.28,27.97,2.01
2016,Sarawak,2773,85.56,27.27,2.08
2016,Sabah,3668,82.54,27.98,2.04
2016,Labuan,13,82.42,28.28,2.05
2017,Perlis,175,,,
2017,Kedah,1430,86.73,27.09,1.88
2017,Penang,2681,82.8,27.86,1.93
2017,Perak,5411,82.84,27.44,1.93
2017,Selangor,45290,60.32,28.62,1.92
2017,Melaka,1425,82.36,27.56,1.94
2017,Johor,7932,87.62,27.03,2.0
2017,Pahang,1690,88.3,27.11,1.96
2017,Terengganu,292,86.03,26.86,2.02
2017,Kelantan,2515,83.42,27.16,1.92
2017,Sarawak,952,85.25,26.97,1.93
2017,Sabah,2560,83.98,27.41,1.93
2017,Labuan,91,83.95,27.69,1.87
2018,Perlis,369,,,
2018,Kedah,2190,82.49,28.13,1.74
2018,Penang,6071,80.32,28.16,1.76
2018,Perak,2736,82.55,27.52,1.76
2018,Selangor,45349,71.64,28.7,1.55
2018,Melaka,722,82.33,27.56,1.8
2018,Johor,5885,86.89,27.01,1.84
2018,Pahang,990,86.71,27.25,1.78
2018,Terengganu,550,85.31,27.27,1.77
2018,Kelantan,1950,83.34,27.54,1.71
2018,Sarawak,823,86.36,26.97,1.72
2018,Sabah,3423,84.62,27.39,1.76
2018,Labuan,102,85.86,27.71,1.75
2019,Perlis,288,,,
2019,Kedah,1587,82.04,28.48,1.84
2019,Penang,4119,77.69,28.13,1.78
2019,Perak,3226,81.45,27.92,1.86
2019,Selangor,72543,73.25,29.17,1.36
2019,Melaka,2156,77.82,28.34,1.58
2019,Johor,10873,87.09,28.06,1.87
2019,Pahang,2873,85.96,26.6,1.89
2019,Terengganu,542,84.61,27.58,1.83
2019,Kelantan,6003,81.21,27.79,1.8
2019,Sarawak,2648,86.94,27.11,1.58
2019,Sabah,5478,84.06,27.18,1.69
2019,Labuan,36,81.35,28.12,1.77
